p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,0.5,18,three_source_diverse,28089,130,71911,304,0.004628146249421481,0.004227447817441003,0.995772552182559
0.01,0.5,19,single_source,28419,247,71581,566,0.008691368450684401,0.007907126192704768,0.9920928738072953
0.01,0.5,19,redundant_fail_closed,28419,136,71581,837,0.004785530806854569,0.011693047037621715,0.9883069529623782
0.01,0.5,19,correlation_aware,28419,8,71581,790,0.00028150181216791585,0.011036448219499588,0.9889635517805004
0.01,0.5,19,three_source_diverse,28419,139,71581,293,0.004891093986417538,0.004093264972548582,0.9959067350274514
0.01,0.5,20,single_source,27967,226,72033,512,0.008080952551221082,0.007107853344994655,0.9928921466550054
0.01,0.5,20,redundant_fail_closed,27967,105,72033,760,0.003754424857868202,0.010550719808976441,0.9894492801910235
0.01,0.5,20,correlation_aware,27967,3,72033,785,0.0001072692816533772,0.010897782960587509,0.9891022170394125
0.01,0.5,20,three_source_diverse,27967,107,72033,268,0.0038259377123037864,0.00372051698527064,0.9962794830147294
0.01,0.5,21,single_source,27934,202,72066,591,0.007231330994487005,0.008200815918741155,0.9917991840812589
0.01,0.5,21,redundant_fail_closed,27934,100,72066,846,0.003579866828953963,0.011739239030888353,0.9882607609691116
0.01,0.5,21,correlation_aware,27934,3,72066,817,0.00010739600486861888,0.011336830127938279,0.9886631698720617
0.01,0.5,21,three_source_diverse,27934,102,72066,330,0.0036514641655330422,0.004579135792190492,0.9954208642078095
0.01,0.5,22,single_source,28169,231,71831,583,0.00820050410025205,0.008116272918377859,0.9918837270816221
0.01,0.5,22,redundant_fail_closed,28169,116,71831,865,0.00411800205900103,0.012042154501538333,0.9879578454984617
0.01,0.5,22,correlation_aware,28169,8,71831,832,0.000284000142000071,0.011582742826913172,0.9884172571730868
0.01,0.5,22,three_source_diverse,28169,124,71831,317,0.004402002201001101,0.0044131363895811,0.9955868636104189
