p,rho,protocol,metric,mean,ci95_halfwidth,n_seeds
0.1,1.0,redundant_fail_closed,false_block_rate,0.0710808078320963,0.00030548620545252695,30
0.1,1.0,redundant_fail_closed,benign_success_rate,0.9289191921679035,0.00030548620545252895,30
0.1,1.0,single_source,containment_failure_rate,0.0756970797363224,0.0006004189959784374,30
0.1,1.0,single_source,false_block_rate,0.0710808078320963,0.00030548620545252695,30
0.1,1.0,single_source,benign_success_rate,0.9289191921679035,0.00030548620545252895,30
0.1,1.0,three_source_diverse,containment_failure_rate,0.0756970797363224,0.0006004189959784374,30
0.1,1.0,three_source_diverse,false_block_rate,0.0710808078320963,0.00030548620545252695,30
0.1,1.0,three_source_diverse,benign_success_rate,0.9289191921679035,0.00030548620545252895,30
0.2,0.0,correlation_aware,containment_failure_rate,0.03940138428647658,0.00047636435066128675,30
0.2,0.0,correlation_aware,false_block_rate,0.16561535341751574,0.0005725010975880071,30
0.2,0.0,correlation_aware,benign_success_rate,0.8343846465824843,0.0005725010975880052,30
0.2,0.0,redundant_fail_closed,containment_failure_rate,0.021665058969956724,0.0003629756128230662,30
0.2,0.0,redundant_fail_closed,false_block_rate,0.22087434919857127,0.0004819599259037709,30
0.2,0.0,redundant_fail_closed,benign_success_rate,0.7791256508014288,0.0004819599259037732,30
0.2,0.0,single_source,containment_failure_rate,0.13905251737681873,0.0008614176833943056,30
0.2,0.0,single_source,false_block_rate,0.13482264273742411,0.000453862281854177,30
0.2,0.0,single_source,benign_success_rate,0.8651773572625759,0.00045386228185417723,30
0.2,0.0,three_source_diverse,containment_failure_rate,0.05764485549769858,0.0006291610625193407,30
0.2,0.0,three_source_diverse,false_block_rate,0.1105141806563539,0.0004313503105617965,30
0.2,0.0,three_source_diverse,benign_success_rate,0.8894858193436462,0.00043135031056179736,30
0.2,0.25,correlation_aware,containment_failure_rate,0.03561711886889711,0.0004558773918096133,30
0.2,0.25,correlation_aware,false_block_rate,0.17823683135711418,0.000543529307227537,30
0.2,0.25,correlation_aware,benign_success_rate,0.8217631686428858,0.0005435293072275365,30
0.2,0.25,redundant_fail_closed,containment_failure_rate,0.046232893567886256,0.00041818187082802037,30
0.2,0.25,redundant_fail_closed,false_block_rate,0.20119488432503346,0.000476540687262582,30
0.2,0.25,redundant_fail_closed,benign_success_rate,0.7988051156749664,0.00047654068726258225,30
0.2,0.25,single_source,containment_failure_rate,0.13881571957249844,0.0008438308333025945,30
0.2,0.25,single_source,false_block_rate,0.13485675423628965,0.00047881141535895106,30
0.2,0.25,single_source,benign_success_rate,0.8651432457637103,0.00047881141535894905,30
0.2,0.25,three_source_diverse,containment_failure_rate,0.07462169930577373,0.0006466321233324535,30
0.2,0.25,three_source_diverse,false_block_rate,0.11624337606776337,0.000404719355259499,30
0.2,0.25,three_source_diverse,benign_success_rate,0.8837566239322369,0.0004047193552594998,30
0.2,0.5,correlation_aware,containment_failure_rate,0.03127418254438107,0.0003860000165564321,30
0.2,0.5,correlation_aware,false_block_rate,0.19156724843564296,0.0006084477688752201,30
0.2,0.5,correlation_aware,benign_success_rate,0.808432751564357,0.0006084477688752179,30
0.2,0.5,redundant_fail_closed,containment_failure_rate,0.07415382750966007,0.0005260687907134625,30
0.2,0.5,redundant_fail_closed,false_block_rate,0.18012824217556608,0.00047068260860878906,30
0.2,0.5,redundant_fail_closed,benign_success_rate,0.8198717578244339,0.0004706826086087904,30
0.2,0.5,single_source,containment_failure_rate,0.13895727008959227,0.000839145602700022,30
0.2,0.5,single_source,false_block_rate,0.13474470578505204,0.0004319730398939173,30
0.2,0.5,single_source,benign_success_rate,0.8652552942149481,0.0004319730398939143,30
0.2,0.5,three_source_diverse,containment_failure_rate,0.09398788604230277,0.0006085477182169148,30
0.2,0.5,three_source_diverse,false_block_rate,0.12197255730530542,0.00044052338008533333,30
0.2,0.5,three_source_diverse,benign_success_rate,0.8780274426946945,0.000440523380085333,30
0.2,0.75,correlation_aware,containment_failure_rate,0.026574741881235642,0.0004356711032052397,30
0.2,0.75,correlation_aware,false_block_rate,0.20581645823218303,0.0005687528008060352,30
0.2,0.75,correlation_aware,benign_success_rate,0.794183541767817,0.0005687528008060336,30
0.2,0.75,redundant_fail_closed,containment_failure_rate,0.10463481004784142,0.0007028566009032221,30
0.2,0.75,redundant_fail_closed,false_block_rate,0.15819552729617137,0.00046972244483818555,30
0.2,0.75,redundant_fail_closed,benign_success_rate,0.8418044727038289,0.0004697224448381823,30
0.2,0.75,single_source,containment_failure_rate,0.1387009095589357,0.0009198332114930844,30
0.2,0.75,single_source,false_block_rate,0.13481292698911193,0.00041950497659157395,30
0.2,0.75,single_source,benign_success_rate,0.865187073010888,0.0004195049765915762,30
0.2,0.75,three_source_diverse,containment_failure_rate,0.11493676295613914,0.0007815409373898441,30
0.2,0.75,three_source_diverse,false_block_rate,0.12824244348106192,0.00045848271203123,30
0.2,0.75,three_source_diverse,benign_success_rate,0.8717575565189382,0.00045848271203123364,30
0.2,1.0,correlation_aware,containment_failure_rate,0.02163988624615517,0.0003766255760894985,30
0.2,1.0,correlation_aware,false_block_rate,0.22073040926997656,0.0005618030393187059,30
0.2,1.0,correlation_aware,benign_success_rate,0.7792695907300234,0.0005618030393187069,30
0.2,1.0,redundant_fail_closed,containment_failure_rate,0.13881305745275938,0.0007519607612415328,30
0.2,1.0,redundant_fail_closed,false_block_rate,0.13469720284875164,0.0003906646889165496,30
0.2,1.0,redundant_fail_closed,benign_success_rate,0.8653027971512485,0.0003906646889165458,30
0.2,1.0,single_source,containment_failure_rate,0.13881305745275938,0.0007519607612415328,30
0.2,1.0,single_source,false_block_rate,0.13469720284875164,0.0003906646889165496,30
0.2,1.0,single_source,benign_success_rate,0.8653027971512485,0.0003906646889165458,30
0.2,1.0,three_source_diverse,containment_failure_rate,0.13881305745275938,0.0007519607612415328,30
0.2,1.0,three_source_diverse,false_block_rate,0.13469720284875164,0.0003906646889165496,30
0.2,1.0,three_source_diverse,benign_success_rate,0.8653027971512485,0.0003906646889165458,30
