p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.05,0.0,1,-0.0014606805669558935,0.04964,0.05035,0.05059
0.05,0.0,2,-0.00135947170776462,0.05022,0.04947,0.04943
0.05,0.0,3,-0.0013745746626881638,0.04864,0.0513,0.05062
0.05,0.0,4,0.0016240242491462526,0.04891,0.04956,0.04844
0.05,0.0,5,0.002271233433625167,0.05006,0.04959,0.05084
0.05,0.0,6,0.006127896809399342,0.04935,0.05083,0.0504
0.05,0.0,7,0.0018030602684610635,0.04946,0.04924,0.04914
0.05,0.0,8,-0.004321105579571138,0.05151,0.04965,0.05047
0.05,0.0,9,-8.693368615330033e-05,0.05112,0.05016,0.04886
0.05,0.0,10,0.0021978346319435167,0.05023,0.04949,0.0507
0.05,0.0,11,-0.005327725089836398,0.04926,0.05039,0.05036
0.05,0.0,12,-0.0029371637151997757,0.05056,0.04903,0.04944
0.05,0.0,13,-2.5907173674196448e-05,0.05037,0.04926,0.04994
0.05,0.0,14,0.0015174327670630916,0.04916,0.05001,0.05108
0.05,0.0,15,-0.004705599949119502,0.04924,0.05021,0.04966
0.05,0.0,16,-0.0009672637923359225,0.04998,0.05014,0.05081
0.05,0.0,17,-0.0007715227523349516,0.0496,0.04932,0.05083
0.05,0.0,18,-0.001996429148531964,0.05031,0.04898,0.04955
0.05,0.0,19,-0.00015410517932820902,0.05048,0.05086,0.04929
0.05,0.0,20,-0.004518770479220023,0.05052,0.0502,0.04982
0.05,0.0,21,0.0006861453711307134,0.04869,0.05068,0.04986
0.05,0.0,22,-0.0020670445927623454,0.05026,0.05011,0.04952
0.05,0.0,23,0.002803402116878241,0.05058,0.05033,0.0497
0.05,0.0,24,-0.0005665223945488585,0.05011,0.05043,0.0494
0.05,0.0,25,0.0028053887444151942,0.04955,0.05039,0.05006
0.05,0.0,26,0.004406724498453858,0.05026,0.05052,0.05069
0.05,0.0,27,-0.0031642441485654573,0.04947,0.05075,0.05132
0.05,0.0,28,-0.0014740278162236262,0.05007,0.05074,0.04974
0.05,0.0,29,0.0012649041136951315,0.05022,0.05037,0.04887
0.05,0.25,0,0.25646654860681956,0.05015,0.05026,0.05121
0.05,0.25,1,0.25424849352868356,0.04974,0.04961,0.05059
0.05,0.25,2,0.24858973944764995,0.04988,0.04933,0.04943
0.05,0.25,3,0.24128894183760455,0.04838,0.05037,0.05062
0.05,0.25,4,0.2545066631497008,0.04925,0.0496,0.04844
0.05,0.25,5,0.2480154876410364,0.05001,0.0498,0.05084
0.05,0.25,6,0.25175259862290367,0.04917,0.05042,0.0504
0.05,0.25,7,0.2500179292328821,0.04959,0.04945,0.04914
0.05,0.25,8,0.2424120629518373,0.05049,0.0493,0.05047
0.05,0.25,9,0.244162574648183,0.05037,0.05002,0.04886
0.05,0.25,10,0.24834610874636875,0.05021,0.04926,0.0507
0.05,0.25,11,0.24664098570926046,0.04942,0.05049,0.05036
0.05,0.25,12,0.24326459938940254,0.04938,0.04858,0.04944
0.05,0.25,13,0.25204699175271905,0.05016,0.05001,0.04994
0.05,0.25,14,0.24970996047193528,0.04875,0.04958,0.05108
0.05,0.25,15,0.2511552356803153,0.05026,0.05017,0.04966
0.05,0.25,16,0.24988272418781057,0.05015,0.04967,0.05081
0.05,0.25,17,0.2567856775026712,0.04948,0.04969,0.05083
0.05,0.25,18,0.2590997463700071,0.0502,0.04934,0.04955
0.05,0.25,19,0.2580422443162002,0.051,0.05118,0.04929
0.05,0.25,20,0.24196415504200183,0.0508,0.05,0.04982
0.05,0.25,21,0.2545526604823395,0.04987,0.05055,0.04986
0.05,0.25,22,0.2520310551868524,0.05054,0.04976,0.04952
0.05,0.25,23,0.25287138658692193,0.05121,0.05043,0.0497
0.05,0.25,24,0.260164418440102,0.05037,0.0506,0.0494
0.05,0.25,25,0.24939852947377664,0.04957,0.04965,0.05006
0.05,0.25,26,0.25156350706324027,0.0497,0.04963,0.05069
0.05,0.25,27,0.25183269785374895,0.0498,0.05099,0.05132
