hidden_fraction,seed,protocol,threshold,fpr,tpr,known_tpr,hidden_tpr,known_attack_mean_pairwise_corr
0.0,22,algorithm_diverse,0.7955865610104074,0.1,0.9420333333333333,0.9420333333333333,nan,-0.2287478504179695
0.0,22,evidence_diverse,1.3815815819382862,0.1,0.7683333333333333,0.7683333333333333,nan,-0.2287478504179695
0.0,22,max_pool,1.979856263217846,0.1,0.9217,0.9217,nan,-0.2287478504179695
0.0,22,weighted_max,1.669663717587655,0.1,0.9197666666666666,0.9197666666666666,nan,-0.2287478504179695
0.0,22,hybrid_evidence,1.5619199000712076,0.1,0.9493,0.9493,nan,-0.2287478504179695
0.0,22,adaptive_evidence,1.7021862708931748,0.1,0.9008,0.9008,nan,-0.2287478504179695
0.0,22,conservative_max,1.8808634500569539,0.1,0.9217,0.9217,nan,-0.2287478504179695
0.0,23,single_m1,1.3015418405261394,0.1,0.5925,0.5925,nan,-0.22707329153152134
0.0,23,algorithm_diverse,0.7771297204103121,0.1,0.9459,0.9459,nan,-0.22707329153152134
0.0,23,evidence_diverse,1.355341734083966,0.1,0.7803666666666667,0.7803666666666667,nan,-0.22707329153152134
0.0,23,max_pool,1.9762942415393778,0.1,0.9248,0.9248,nan,-0.22707329153152134
0.0,23,weighted_max,1.6559584035404946,0.1,0.9233333333333333,0.9233333333333333,nan,-0.22707329153152134
0.0,23,hybrid_evidence,1.5493981415383304,0.1,0.9506333333333333,0.9506333333333333,nan,-0.22707329153152134
0.0,23,adaptive_evidence,1.6902484896106995,0.1,0.9039333333333334,0.9039333333333334,nan,-0.22707329153152134
0.0,23,conservative_max,1.877479529462409,0.1,0.9248,0.9248,nan,-0.22707329153152134
0.0,24,single_m1,1.2967726397385606,0.1,0.5977,0.5977,nan,-0.22771551799396061
0.0,24,algorithm_diverse,0.7848775979724081,0.1,0.946,0.946,nan,-0.22771551799396061
0.0,24,evidence_diverse,1.3769505373330595,0.1,0.7710333333333333,0.7710333333333333,nan,-0.22771551799396061
0.0,24,max_pool,1.9753602456248347,0.1,0.9237666666666666,0.9237666666666666,nan,-0.22771551799396061
0.0,24,weighted_max,1.6690219894468452,0.1,0.9214333333333333,0.9214333333333333,nan,-0.22771551799396061
0.0,24,hybrid_evidence,1.5479536639546112,0.1,0.9517666666666666,0.9517666666666666,nan,-0.22771551799396061
0.0,24,adaptive_evidence,1.6982360592864598,0.1,0.9034,0.9034,nan,-0.22771551799396061
0.0,24,conservative_max,1.876592233343593,0.1,0.9237666666666666,0.9237666666666666,nan,-0.22771551799396061
0.0,25,single_m1,1.295979104271805,0.1,0.5926333333333333,0.5926333333333333,nan,-0.2311403209895705
0.0,25,algorithm_diverse,0.7843395611204151,0.1,0.9457,0.9457,nan,-0.2311403209895705
0.0,25,evidence_diverse,1.3707693607578553,0.1,0.7732333333333333,0.7732333333333333,nan,-0.2311403209895705
0.0,25,max_pool,1.9777903938231418,0.1,0.9215666666666666,0.9215666666666666,nan,-0.2311403209895705
0.0,25,weighted_max,1.6635437335618677,0.1,0.9226,0.9226,nan,-0.2311403209895705
0.0,25,hybrid_evidence,1.556166254308088,0.1,0.9508,0.9508,nan,-0.2311403209895705
0.0,25,adaptive_evidence,1.6951784876451461,0.1,0.9029333333333334,0.9029333333333334,nan,-0.2311403209895705
0.0,25,conservative_max,1.8789008741319846,0.1,0.9215666666666666,0.9215666666666666,nan,-0.2311403209895705
0.0,26,single_m1,1.3175336137700986,0.1,0.5847,0.5847,nan,-0.23032692239199815
0.0,26,algorithm_diverse,0.7709480506922567,0.1,0.9482666666666667,0.9482666666666667,nan,-0.23032692239199815
0.0,26,evidence_diverse,1.3835715103278765,0.1,0.7707,0.7707,nan,-0.23032692239199815
0.0,26,max_pool,1.976648563066128,0.1,0.9235,0.9235,nan,-0.23032692239199815
0.0,26,weighted_max,1.663119047606722,0.1,0.9236,0.9236,nan,-0.23032692239199815
0.0,26,hybrid_evidence,1.5509398778346797,0.1,0.9521333333333334,0.9521333333333334,nan,-0.23032692239199815
